company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,EntityType,Incorporated,SIC_Code,FiscalYearEnd,Regulator,FilerStatus
UNITED BANCORP INC /OH/,1071502,201 SOUTH FOURTH STREET,MARTINS FERRY,OH,43935,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Non-Accelerated
NEW PEOPLES BANKSHARES INC,3049617,67 COMMERCE DRIVE,HONAKER,VA,24260,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Non-Accelerated
UWHARRIE CAPITAL CORP,2082532,132 NORTH FIRST STREET,ALBEMARLE,NC,28001,,STATE COMMERCIAL BANKS,"NC, US",6022,1231,SEC,Non-Accelerated
JUNIATA VALLEY FINANCIAL CORP,1117512,2 SOUTH MAIN ST,MIFFLINTOWN,PA,17059-0066,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
CONSUMERS BANCORP INC /OH/,2286228,614 E LINCOLN WAY,MINERVA,OH,44657-2096,,NATIONAL COMMERCIAL BANKS,"OH, US",6021,630,SEC,Non-Accelerated
"RANDOLPH BANCORP, INC.",3122846,10 CABOT PL,STOUGHTON,MA,02072,,STATE COMMERCIAL BANKS,"MA, US",6022,1231,SEC,Accelerated
PEOPLES FINANCIAL CORP /MS/,1133174,152 LAMEUSE STREET,BILOXI,MS,39530,,STATE COMMERCIAL BANKS,"MS, US",6022,1231,SEC,Non-Accelerated
VILLAGE BANK & TRUST FINANCIAL CORP.,3251027,13319 MIDLOTHIAN TURNPIKE,MIDLOTHIAN,VA,23113,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Non-Accelerated
PRIME MERIDIAN HOLDING CO,4167974,"1897 CAPITAL CIRCLE, NE",TALLAHASSEE,FL,32308,,STATE COMMERCIAL BANKS,"FL, US",6022,1231,SEC,Non-Accelerated
BANK OF SOUTH CAROLINA CORP,2297701,256 MEETING ST,CHARLESTON,SC,29402,,STATE COMMERCIAL BANKS,"SC, US",6022,1231,SEC,Non-Accelerated
"TECTONIC FINANCIAL, INC.",5077977,"16200 DALLAS PARKWAY, SUITE 190",DALLAS,TX,75248,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Non-Accelerated
GLEN BURNIE BANCORP,2001328,101 CRAIN HWY SE,GLEN BURNIE,MD,21227,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Non-Accelerated
"HV BANCORP, INC.",5042966,"2005 SOUTH EASTON ROAD, SUITE 304",DOYLESTOWN,PA,18901,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Non-Accelerated
"OPTIMUMBANK HOLDINGS, INC.",3251661,2477 EAST COMMERCIAL BOULEVARD,FORT LAUDERDALE,FL,33308,,NATIONAL COMMERCIAL BANKS,"FL, US",6021,1231,SEC,Non-Accelerated
"TD HOLDINGS, INC.",,"ROOM 104 NO.33 SECTION D, NO.6",BEIJING,215200,,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Non-Accelerated
