company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,EntityType,Incorporated,SIC_Code,FiscalYearEnd,Regulator,FilerStatus
"INVESTORS BANCORP, INC.",2477754,101 JFK PARKWAY,SHORT HILLS,NJ,07078,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Large Accelerated
UMB FINANCIAL CORP,1049828,1010 GRAND AVE,KANSAS CITY,MO,64106,,NATIONAL COMMERCIAL BANKS,"MO, US",6021,1231,SEC,Large Accelerated
PACWEST BANCORP,2875332,130 S. STATE COLLEGE BLVD.,BREA,CA,92821,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
FULTON FINANCIAL CORP,1117129,ONE PENN SQ,LANCASTER,PA,17604,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Large Accelerated
SIMMONS FIRST NATIONAL CORP,1094828,501 MAIN STREET,PINE BLUFF,AR,71601,,NATIONAL COMMERCIAL BANKS,"AR, US",6021,1231,SEC,Large Accelerated
"FIRST HAWAIIAN, INC.",1025608,999 BISHOP STREET,HONOLULU,HI,96813,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
OLD NATIONAL BANCORP /IN/,1098303,ONE MAIN ST,EVANSVILLE,IN,47708,,NATIONAL COMMERCIAL BANKS,"IN, US",6021,1231,SEC,Large Accelerated
UNITED BANKSHARES INC/WV,1076217,300 UNITED CTR,CHARLESTON,WV,25301,,STATE COMMERCIAL BANKS,"WV, US",6022,1231,SEC,Large Accelerated
FIRST MIDWEST BANCORP INC,1208184,8750 WEST BRYN MAWR AVENUE,CHICAGO,IL,60631,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
CENTERSTATE BANK CORP,2868129,1101 FIRST ST. S.,WINTER HAVEN,FL,33880,,NATIONAL COMMERCIAL BANKS,"FL, US",6021,1231,SEC,Large Accelerated
BANK OF HAWAII CORP,1025309,130 MERCHANT STREET,HONOLULU,HI,96813,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
CATHAY GENERAL BANCORP,1843080,777 N BROADWAY,LOS ANGELES,CA,90012,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
AMERIS BANCORP,1082067,3490 PIEDMONT RD,ATLANTA,GA,30305,,STATE COMMERCIAL BANKS,"GA, US",6022,1231,SEC,Large Accelerated
ATLANTIC UNION BANKSHARES CORP,1971693,1051 EAST CARY STREET,RICHMOND,VA,23219,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Large Accelerated
CADENCE BANCORPORATION,4882802,2800 POST OAK BOULEVARD SUITE 3800,HOUSTON,TX,77056,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
SOUTH STATE CORP,1133437,520 GERVAIS STREET,COLUMBIA,SC,29201,,STATE COMMERCIAL BANKS,"SC, US",6022,1231,SEC,Large Accelerated
HOPE BANCORP INC,2961879,3200 WILSHIRE BLVD,LOS ANGELES,CA,90010,,NATIONAL COMMERCIAL BANKS,,6021,1231,SEC,Large Accelerated
WESBANCO INC,1070448,1 BANK PLAZA,WHEELING,WV,26003,,NATIONAL COMMERCIAL BANKS,"WV, US",6021,1231,SEC,Large Accelerated
HILLTOP HOLDINGS INC.,3838727,6565 HILLCREST AVE.,DALLAS,TX,75205,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Large Accelerated
"INDEPENDENT BANK GROUP, INC.",3140288,1600 REDBUD BOULEVARD,MCKINNEY,TX,75069,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Large Accelerated
HOME BANCSHARES INC,1491409,719 HARKRIDER,CONWAY,AR,72032,,STATE COMMERCIAL BANKS,"AR, US",6022,1231,SEC,Large Accelerated
"GLACIER BANCORP, INC.",2003975,49 COMMONS LOOP,KALISPELL,MT,59901,,STATE COMMERCIAL BANKS,"MT, US",6022,1231,SEC,Large Accelerated
FIRST FINANCIAL BANCORP /OH/,1071276,255 EAST FIFTH STREET,CINCINNATI,OH,45202,,NATIONAL COMMERCIAL BANKS,"OH, US",6021,1231,SEC,Large Accelerated
FIRST INTERSTATE BANCSYSTEM INC,1123670,P O BOX 30918,BILLINGS,MT,59116-0918,,STATE COMMERCIAL BANKS,"MT, US",6022,1231,SEC,Large Accelerated
"COLUMBIA BANKING SYSTEM, INC.",2078816,1301 A STREET,TACOMA,WA,98402,,STATE COMMERCIAL BANKS,"WA, US",6022,1231,SEC,Large Accelerated
TRUSTMARK CORP,1079562,248 E CAPITOL ST,JACKSON,MS,39201,,NATIONAL COMMERCIAL BANKS,"MS, US",6021,1231,SEC,Large Accelerated
RENASANT CORP,1098844,209 TROY STREET,TUPELO,MS,38804-4827,,STATE COMMERCIAL BANKS,"MS, US",6022,1231,SEC,Large Accelerated
HEARTLAND FINANCIAL USA INC,1206546,1398 CENTRAL AVE,DUBUQUE,IA,52001,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
UNITED COMMUNITY BANKS INC,1249347,"P O BOX 398, 59 HIGHWAY 515",BLAIRSVILLE,GA,30512,,STATE COMMERCIAL BANKS,"GA, US",6022,1231,SEC,Large Accelerated
FIRST BANCORP /PR/,2744894,1519 PONCE DE LEON AVE,SAN JUAN,00908-0146,,,STATE COMMERCIAL BANKS,PR,6022,1231,SEC,Large Accelerated
BANNER CORP,2126977,10 S FIRST AVENUE,WALLA WALLA,WA,99362,,STATE COMMERCIAL BANKS,"WA, US",6022,1231,SEC,Large Accelerated
FIRST MERCHANTS CORP,1208559,200 E JACKSON ST,MUNCIE,IN,47308-0792,,NATIONAL COMMERCIAL BANKS,"IN, US",6021,1231,SEC,Large Accelerated
INTERNATIONAL BANCSHARES CORP,1104231,12OO SAN BERNARDO AVE,LAREDO,TX,78040-1359,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Large Accelerated
"GREAT WESTERN BANCORP, INC.",4809920,225 S. MAIN AVENUE,SIOUX FALLS,SD,57104,,STATE COMMERCIAL BANKS,"DE, US",6022,930,SEC,Large Accelerated
WSFS FINANCIAL CORP,3844269,500 DELAWARE AVENUE,WILMINGTON,DE,19801,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
"CUSTOMERS BANCORP, INC.",4284536,1015 PENN AVENUE,WYOMISSING,PA,19610,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Large Accelerated
INDEPENDENT BANK CORP,1136803,288 UNION STREET,ROCKLAND,MA,02370,,STATE COMMERCIAL BANKS,"MA, US",6022,1231,SEC,Large Accelerated
PACIFIC PREMIER BANCORP INC,3489594,17901 VON KARMAN AVE,IRVINE,CA,92614,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
"COMMUNITY BANK SYSTEM, INC.",1048867,5790 WIDEWATERS PKWY,DEWITT,NY,13214,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
CVB FINANCIAL CORP,1029222,701 N HAVEN AVE STE 300,ONTARIO,CA,91764,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Large Accelerated
"NORTHWEST BANCSHARES, INC.",4122722,100 LIBERTY STREET,WARREN,PA,16365,,NATIONAL COMMERCIAL BANKS,"MD, US",6021,1231,SEC,Large Accelerated
EAGLE BANCORP INC,2652104,7830 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Large Accelerated
FIRST BUSEY CORP /NV/,1203602,201 W MAIN STREET,URBANA,IL,61801,,STATE COMMERCIAL BANKS,"NV, US",6022,1231,SEC,Large Accelerated
FIRST FINANCIAL BANKSHARES INC,1102312,400 PINE STREET,ABILENE,TX,79601,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Large Accelerated
"SERVISFIRST BANCSHARES, INC.",3635319,2500 WOODCREST PLACE,BIRMINGHAM,AL,35209,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
OFG BANCORP,2490575,254 MU?OZ RIVERA AVENUE,SAN JUAN,00918,,,STATE COMMERCIAL BANKS,PR,6022,1231,SEC,Large Accelerated
S&T BANCORP INC,1071397,800 PHILADELPHIA STREET,INDIANA,PA,15701,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Large Accelerated
"TRISTATE CAPITAL HOLDINGS, INC.",3475074,ONE OXFORD CENTRE,PITTSBURGH,PA,15219,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
SANDY SPRING BANCORP INC,1248304,17801 GEORGIA AVE,OLNEY,MD,20832,,NATIONAL COMMERCIAL BANKS,,6021,1231,SEC,Large Accelerated
BOSTON PRIVATE FINANCIAL HOLDINGS INC,1248078,10 POST OFFICE SQ,BOSTON,MA,02109,,STATE COMMERCIAL BANKS,"MA, US",6022,1231,SEC,Large Accelerated
PARK NATIONAL CORP /OH/,1142336,50 NORTH THIRD ST,NEWARK,OH,43055,,NATIONAL COMMERCIAL BANKS,"OH, US",6021,1231,SEC,Large Accelerated
BANCFIRST CORP /OK/,1133286,101 N BROADWAY STE 200,OKLAHOMA CITY,OK,73102-8401,,NATIONAL COMMERCIAL BANKS,"OK, US",6021,1231,SEC,Large Accelerated
"VERITEX HOLDINGS, INC.",4105266,8214 WESTCHESTER DRIVE,DALLAS,TX,75225,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Large Accelerated
AMERANT BANCORP INC.,1135972,220 ALHAMBRA CIRCLE,CORAL GABLES,FL,33134,,NATIONAL COMMERCIAL BANKS,"FL, US",6021,1231,SEC,Accelerated
MERCHANTS BANCORP,3530786,410 MONON BLVD,CARMEL,IN,46032,,STATE COMMERCIAL BANKS,"IN, US",6022,1231,SEC,Accelerated
"BANC OF CALIFORNIA, INC.",3153130,3 MACARTHUR PLACE,SANTA ANA,CA,92707,,NATIONAL COMMERCIAL BANKS,"MD, US",6021,1231,SEC,Large Accelerated
ENTERPRISE FINANCIAL SERVICES CORP,2303910,150 NORTH MERAMEC,CLAYTON,MO,63105,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
SEACOAST BANKING CORP OF FLORIDA,1085013,815 COLORADO AVE,STUART,FL,34994,,STATE COMMERCIAL BANKS,"FL, US",6022,1231,SEC,Large Accelerated
"CONNECTONE BANCORP, INC.",1048764,301 SYLVAN AVENUE,ENGLEWOOD CLIFFS,NJ,07632,,STATE COMMERCIAL BANKS,"NJ, US",6022,1231,SEC,Large Accelerated
SOUTHSIDE BANCSHARES INC,1245068,1201 S BECKHAM,TYLER,TX,75701,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Large Accelerated
FLUSHING FINANCIAL CORP,2393274,220 RXR PLAZA,UNIONDALE,NY,11556,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
LUTHER BURBANK CORP,3814208,"520 THIRD STREET, 4TH FLOOR",SANTA ROSA,CA,95401,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
LAKELAND BANCORP INC,1404799,250 OAK RIDGE RD,OAK RIDGE,NJ,07438,,STATE COMMERCIAL BANKS,"NJ, US",6022,1231,SEC,Large Accelerated
